move,X,Y,Z,E,F,A,command,line,,,,,
TRUE,115.289,45.204,0.2,0.0168,1200,0,0,0,G1,G1 X115.289 Y45.204 E0.0168,,,
TRUE,115.68,44.883,0.2,0.01683,1200,0,0,0,G1,G1 X115.68 Y44.883 E0.01683,,,
TRUE,116.117,44.628,0.2,0.01683,1200,0,0,0,G1,G1 X116.117 Y44.628 E0.01683,,,
TRUE,116.588,44.444,0.2,0.01682,1200,0,0,0,G1,G1 X116.588 Y44.444 E0.01682,,,
TRUE,117.082,44.338,0.2,0.0168,1200,0,0,0,G1,G1 X117.082 Y44.338 E0.0168,,,
TRUE,117.527,44.301,0.2,0.01485,1200,0,0,0,G1,G1 X117.527 Y44.301 E0.01485,,,
TRUE,131.839,44.3,0.2,0.47602,1200,0,0,0,G1,G1 X131.839 Y44.3 E0.47602,,,
TRUE,132.537,44.31,0.2,0.02322,1200,0,0,0,G1,G1 X132.537 Y44.31 E0.02322,,,
TRUE,133.04,44.357,0.2,0.0168,1200,0,0,0,G1,G1 X133.04 Y44.357 E0.0168,,,
TRUE,133.53,44.483,0.2,0.01683,1200,0,0,0,G1,G1 X133.53 Y44.483 E0.01683,,,
TRUE,133.994,44.685,0.2,0.01683,1200,0,0,0,G1,G1 X133.994 Y44.685 E0.01683,,,
TRUE,134.42,44.957,0.2,0.01681,1200,0,0,0,G1,G1 X134.42 Y44.957 E0.01681,,,
TRUE,134.798,45.292,0.2,0.0168,1200,0,0,0,G1,G1 X134.798 Y45.292 E0.0168,,,
TRUE,135.118,45.683,0.2,0.0168,1200,0,0,0,G1,G1 X135.118 Y45.683 E0.0168,,,
TRUE,135.373,46.12,0.2,0.01683,1200,0,0,0,G1,G1 X135.373 Y46.12 E0.01683,,,
TRUE,135.556,46.591,0.2,0.01681,1200,0,0,0,G1,G1 X135.556 Y46.591 E0.01681,,,
TRUE,135.663,47.085,0.2,0.01681,1200,0,0,0,G1,G1 X135.663 Y47.085 E0.01681,,,
TRUE,135.699,47.74,0.2,0.02182,1200,0,0,0,G1,G1 X135.699 Y47.74 E0.02182,,,
TRUE,135.7,61.804,0.2,0.46777,1200,0,0,0,G1,G1 X135.7 Y61.804 E0.46777,,,
TRUE,135.691,62.531,0.2,0.02418,1200,0,0,0,G1,G1 X135.691 Y62.531 E0.02418,,,
TRUE,135.645,63.034,0.2,0.0168,1200,0,0,0,G1,G1 X135.645 Y63.034 E0.0168,,,
TRUE,135.52,63.524,0.2,0.01682,1200,0,0,0,G1,G1 X135.52 Y63.524 E0.01682,,,
TRUE,135.319,63.988,0.2,0.01682,1200,0,0,0,G1,G1 X135.319 Y63.988 E0.01682,,,
